State, GDP
District of Columbia,181185
Delaware,69930
Alaska,81801
North Dakota,70926
Connecticut,72331
Wyoming,68536
Massachusetts,69705
New York,72965
Mideast, 49580
New England, 49519
New Jersey,64070
Oregon,56009
Washington,62213
Virginia,56891
Minnesota,60256
Maryland,60097
Texas,59994
Colorado,58009
Far West,46211
Illinois,59472
California,61924
Nebraska,59175
Hawaii,55598
South Dakota,51902
Louisiana,54159
New Hampshire,53834
Southwest,42880
United States,55904
Plains,42465
Iowa,52807
Rhodes Island,53321
Rocky Mountain,41677
Kansas,50218
Nevada,48639
North Carolina,50159
Pennsylvania,52925
Great Lakes,39919
Wisconsin,51456
Utah,48965
Indiana,49328
Vermont,47520
Georgia,48574
Ohio,51052
Tennessee,46531
Southeast,36961
Missouri,47209
Oklahoma,46298
Michigan,46585
Arizona,43269
Florida,42595
Maine,41477
New Mexico,41551
Kentucky,41586
Montana,44308
Alabama,42663
Idaho,39398
South Carolina,40212
Arkansas,41129
West Virginia,38567
Mississippi,35717
